Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Fit,Cluster,Cluster Name
Kaptir Super Shoes,adidas,1800000.0,adidas,319.0,4.2,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Response Super 2.0 Shoes,adidas,2025000.0,adidas,94.0,4.5,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Retrorun Shoes,adidas,1300000.0,adidas,762.0,4.5,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Hamburg Shoes,adidas,1400000.0,adidas,29.0,4.8,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
AEROREADY Designed to Move Sport Motion Logo Hoodie,adidas,1300000.0,adidas,89.0,4.8,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Copa Sense.3 Turf Shoes,adidas,1600000.0,adidas,106.0,4.3,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Kaptir 2.0 Shoes,adidas,1300000.0,adidas,41.0,4.7,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Response Super 2.0 Shoes,adidas,1575000.0,adidas,38.0,4.2,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Nike Therma City Connect (MLB Boston Red Sox),Nike,2000000.0,Nike,0.0,0.0,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Racer TR21 Shoes,adidas,1325000.0,adidas,78.0,4.8,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Supernova+ Shoes,adidas,2100000.0,adidas,275.0,4.5,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Marathon Running Jacket (Plus Size),adidas,2000000.0,adidas,3.0,4.3,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Split Hoodie,adidas,1400000.0,adidas,32.0,4.8,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
ZX 1K Boost Shoes,adidas,1750000.0,adidas,77.0,4.2,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Long Sleeve Dress,adidas,1400000.0,adidas,1.0,5.0,0.0,Váy,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Lite Racer BYD 2.0 Shoes,adidas,1400000.0,adidas,135.0,4.6,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
MLB Houston Astros,Nike,2875000.0,Nike,5.0,4.8,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
adidas Superstar x LEGO® Shoes,adidas,1600000.0,adidas,87.0,5.0,0.0,Giày,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
adidas Sportswear Comfy & Chill Full Zip Hoodie,adidas,1400000.0,adidas,32.0,4.2,0.0,Khác,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
