Tên sản phẩm	Tên cửa hàng	Giá	Thương hiệu	Lượt đánh giá	Điểm đánh giá trung bình	Số lượng đã bán	Link
(BIG SIZE) chân váy chữ A có túi dài che gối C036	Chân váy Big size	138000	OEM	4	5.0	27	https://tiki.vn/big-size-chan-vay-chu-a-co-tui-dai-che-goi-c036-p146779955.html?spid=146779998
Chân váy nữ Titishop CV121 Sọc đen	TitiShop	79000	Titishop	0	0.0	0	https://tiki.vn/chan-vay-nu-titishop-cv121-soc-den-p70091157.html?spid=70091163
Chân váy nữ Titishop CV115 Xanh navy	TitiShop	79000	Titishop	0	0.0	0	https://tiki.vn/chan-vay-nu-titishop-cv115-xanh-navy-p70086512.html?spid=70086514
CHÂN VÁY THỜI TRANG CÔNG SỞ MỚI	THỜI TRANG BOBOSHOP	131000	OEM	4	4.3	6	https://tiki.vn/chan-vay-thoi-trang-cong-so-moi-p133613141.html?spid=133613249
BIG SIZE chân váy chữ A công sở xẻ trước C002	Chân váy Big size	135000	OEM	2	3.0	6	https://tiki.vn/big-size-chan-vay-chu-a-cong-so-xe-truoc-c002-p146773096.html?spid=146773110
DOTTIE - Chân váy dài dập ly - S0183	Dottie	769000	Dottie	0	0.0	0	https://tiki.vn/dottie-chan-vay-dai-dap-ly-s0183-p271419423.html?spid=271419427
DOTTIE - Chân váy thun vải sần - S0179	Dottie	329000	Dottie	0	0.0	0	https://tiki.vn/dottie-chan-vay-thun-vai-san-s0179-p269890007.html?spid=269890013
CHÂN VÁY CHỮ A ĐÍNH KHOEN SALA - S	THỜI TRANG BOBOSHOP	133000	OEM	0	0.0	2	https://tiki.vn/chan-vay-chu-a-dinh-khoen-sala-p135837305.html?spid=135837309
Chân váy bút chì phối nút sang trọng	Thời Trang MYMYSHOP	162000	OEM	42	3.8	127	https://tiki.vn/chan-vay-but-chi-phoi-nut-sang-trong-p25812831.html?spid=25812841
Chân váy Rinzy kèm belt sang trọng	Thời Trang MYMYSHOP	180000	OEM	6	3.0	17	https://tiki.vn/chan-vay-rinzy-kem-belt-sang-trong-p52484018.html?spid=52484024
Chân váy xòe dài xếp li sang chảnh	THỜI TRANG BOBOSHOP	134000	OEM	0	0.0	0	https://tiki.vn/chan-vay-xoe-dai-xep-li-sang-chanh-p276126261.html?spid=276126281
Chân Váy Xếp Ly Kèm Belt Nana	THỜI TRANG BOBOSHOP	133000	OEM	6	3.8	60	https://tiki.vn/chan-vay-xep-ly-kem-belt-nana-p34561282.html?spid=34561296
Chân váy xòe tiểu thư Elly sang trọng	Thời Trang MYMYSHOP	189000	OEM	19	3.8	51	https://tiki.vn/chan-vay-xoe-tieu-thu-elly-sang-trong-p52502706.html?spid=52502728
